System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
16:24:48:711393960,2200000|2200000|2200000|2000000,38.0461,20.3688,7.3499,51000,
16:24:49:213289261,2200000|2000000|2100000|2200000,37.5130,20.5782,6.4387,50000,
16:24:49:714188426,2000000|1900000|1900000|1800000,37.3240,20.1105,6.9016,49000,
16:24:50:215566325,2100000|2000000|1900000|2100000,37.4540,19.7907,7.3414,51000,
16:24:50:716691591,2100000|2000000|1900000|2000000,37.0825,19.3754,7.3810,51000,
16:24:51:218757161,2100000|2200000|1600000|2000000,37.3107,19.6673,7.3103,50000,
16:24:51:719814883,2200000|2200000|2200000|2100000,37.9086,20.7513,6.6755,50000,
16:24:52:221608330,2200000|2200000|2000000|2100000,38.0773,21.1549,6.3715,51000,
16:24:52:723398766,2100000|2200000|1900000|2100000,37.9007,20.9874,6.4473,52000,
16:24:53:224355540,2000000|2200000|2200000|2200000,37.8511,20.8926,6.4245,51000,
16:24:53:725337102,2200000|2100000|2100000|2200000,38.0352,21.1007,6.3842,51000,
16:24:54:228659994,2200000|2200000|2200000|2100000,38.0083,21.0602,6.5155,51000,
16:24:54:730973660,2200000|2200000|2200000|2200000,25.2701,8.6786,5.9507,48000,
16:24:55:240057698,2200000|2200000|2200000|1700000,25.0012,8.4771,5.8201,48000,
16:24:55:745400483,2200000|2200000|2100000|2200000,25.1519,8.6120,5.8721,49000,
16:24:56:247318201,2200000|1900000|2100000|2200000,25.0885,8.5397,5.8805,49000,
16:24:56:749256116,2200000|2200000|2200000|2200000,25.0925,8.6256,5.9138,49000,
16:24:57:251228314,2200000|2200000|1500000|2200000,25.2035,8.6477,5.8496,49000,
16:24:57:753622387,1900000|2200000|2200000|2100000,25.4198,8.8889,5.8845,48000,
16:24:58:255959083,2200000|2200000|2100000|2000000,25.6224,9.0590,5.8606,49000,
16:24:58:758150954,2200000|2200000|2200000|2200000,25.8466,9.3068,5.8342,49000,
16:24:59:260267591,2200000|2200000|2200000|2200000,25.4155,8.9556,5.8808,50000,
16:24:59:766492611,2200000|2200000|2200000|2200000,25.5232,9.0439,5.8976,49000,
16:25:00:269132613,2000000|2200000|2200000|2200000,26.0068,9.4897,5.9057,49000,
16:25:00:772492586,1700000|2200000|2200000|2200000,25.2258,8.7716,5.9257,48000,
16:25:01:276831254,2200000|1900000|2100000|2200000,25.2932,8.8175,5.8618,48000,
16:25:01:781150726,2200000|2200000|2200000|2200000,25.4957,8.9647,5.8816,48000,
16:25:02:283175159,2100000|2200000|2200000|2200000,25.5337,9.0011,5.8597,49000,
16:25:02:788811734,1900000|1700000|1800000|2200000,25.5169,8.9404,5.8825,48000,
16:25:03:291855959,2000000|1800000|1800000|2200000,25.3942,8.8521,5.8331,48000,
16:25:03:794617224,2200000|1900000|2200000|2000000,25.7262,9.1751,5.8624,49000,
16:25:04:296748921,1400000|1800000|2200000|2200000,25.3889,8.7972,5.8457,48000,
16:25:04:798679026,2200000|2200000|1500000|1700000,25.7099,8.9842,6.0438,49000,
16:25:05:301761216,2200000|1500000|2200000|2000000,26.1843,9.4974,6.0673,48000,
16:25:05:808439414,2200000|2200000|2200000|2200000,25.4357,8.7075,5.9494,49000,
16:25:06:311501105,2100000|2000000|2200000|2100000,25.2623,8.6398,5.9834,49000,
16:25:06:814300692,2000000|2200000|2200000|1900000,25.0059,8.4040,5.8742,48000,
16:25:07:321593810,2200000|2200000|2200000|2200000,25.0950,8.5145,5.8176,48000,
16:25:07:823506338,2200000|2200000|2200000|2100000,25.2937,8.6969,5.8275,50000,
16:25:08:325795918,1800000|2200000|2200000|1800000,25.0825,8.4069,5.8908,49000,
16:25:08:836760761,2000000|2000000|1800000|2100000,25.3079,8.6355,5.8077,48000,
16:25:09:341148461,2100000|2200000|2200000|2100000,25.2228,8.5580,5.9218,48000,
16:25:09:843085944,2100000|2200000|2200000|2200000,25.1748,8.5261,5.9426,49000,
16:25:10:346836837,2200000|2200000|1800000|2200000,25.0921,8.4659,5.8524,47000,
16:25:10:849101440,2200000|2200000|2200000|2200000,25.1587,8.6132,5.8731,49000,
16:25:11:351132280,2200000|2200000|2200000|2200000,25.1790,8.7137,5.9114,48000,
16:25:11:853402753,2200000|2200000|2200000|2200000,25.1378,8.5969,5.8273,49000,
16:25:12:355352262,2200000|1900000|2200000|2200000,25.1956,8.5859,5.8747,48000,
16:25:12:863749251,2200000|1900000|2200000|2000000,25.1131,8.5116,5.8776,49000,
16:25:13:365721628,2100000|2000000|2200000|2200000,25.3316,8.6405,6.0364,49000,
16:25:13:869508009,1900000|2200000|2200000|2200000,25.1163,8.3733,5.9577,48000,
16:25:14:376780474,2200000|2200000|2200000|2200000,25.4107,8.7805,5.9143,49000,
16:25:14:878767464,1900000|2200000|2000000|2200000,25.3223,8.5951,6.0247,49000,
16:25:15:386445333,2200000|2200000|2200000|2200000,25.7819,9.0783,5.9859,50000,
16:25:15:888627228,2100000|2200000|2100000|2000000,25.3177,8.6658,5.8486,48000,
16:25:16:391644988,2200000|1800000|2200000|2100000,25.3800,8.7131,5.9599,49000,
16:25:16:894936405,2200000|1900000|2100000|1800000,26.4345,9.6930,6.0491,49000,
16:25:17:397173791,2000000|2200000|2200000|1500000,25.8090,9.0525,6.0663,49000,
16:25:17:899525125,2100000|2100000|2100000|2000000,25.7139,8.9809,5.9623,49000,
16:25:18:402537285,2200000|2200000|2100000|2100000,26.3623,9.6120,6.0389,49000,
16:25:18:906250703,2200000|2100000|2200000|2200000,27.5564,10.8540,6.0887,49000,
16:25:19:408372115,2200000|2200000|2100000|1900000,28.2998,11.5174,6.0679,49000,
16:25:19:909730298,2100000|2200000|2200000|2000000,28.9184,12.0977,6.2538,50000,
16:25:20:411371606,2100000|2100000|2000000|1900000,27.6442,10.8984,6.1672,49000,
16:25:20:913296769,2200000|2200000|2200000|1900000,27.8113,11.1227,6.1490,49000,
16:25:21:418926429,2200000|2100000|1800000|2100000,27.4181,10.6031,5.9936,49000,
16:25:21:923954285,2200000|1500000|2200000|2000000,27.9960,11.1792,6.1630,49000,
16:25:22:431784366,2100000|2200000|2200000|2200000,26.7749,10.0376,6.1107,50000,
16:25:22:933950122,2100000|2200000|2200000|2000000,26.4161,9.6854,6.0797,50000,
16:25:23:438876265,2100000|2200000|2000000|2200000,27.3782,10.6308,6.0721,49000,
16:25:23:944083776,2200000|2100000|2200000|2000000,26.4931,9.8455,5.9386,50000,
16:25:24:445838349,1600000|2200000|2200000|2200000,26.1696,9.4210,5.9952,50000,
16:25:24:950317811,2000000|2100000|2000000|2200000,25.9911,9.2647,6.0407,50000,
16:25:25:458085953,1800000|2200000|1800000|2200000,26.5905,9.8934,6.0876,50000,
16:25:25:959876439,1900000|2200000|2200000|2000000,26.2685,9.5158,5.9621,50000,
16:25:26:462012679,1900000|2200000|2000000|2100000,26.8836,10.0756,6.1943,49000,
16:25:26:964207268,2200000|2000000|2100000|2200000,26.6504,9.7933,6.3237,49000,
