System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
19:58:38:952103216,1200000|1600000|1200000|1200000,27.9510,11.5996,5.6029,54000,
19:58:39:453338616,1400000|2200000|2000000|1700000,32.5854,16.2440,5.7616,57000,
19:58:39:954311875,1900000|1800000|1900000|2000000,34.9661,18.1912,6.0151,56000,
19:58:40:455362735,1200000|1800000|1900000|2000000,33.1099,16.3134,6.0869,56000,
19:58:40:956865763,1700000|1900000|2000000|2200000,32.7522,16.1941,5.8931,56000,
19:58:41:457808095,2000000|1600000|1200000|1700000,33.2634,16.9781,5.7287,56000,
19:58:41:958746870,1900000|1600000|1200000|1600000,31.4236,15.1224,5.2904,55000,
19:58:42:459764716,2200000|2000000|2200000|2000000,30.6207,14.3777,5.3598,56000,
19:58:42:960721717,1700000|1500000|1200000|1600000,29.0153,12.8965,5.1834,55000,
19:58:43:461845670,1300000|1600000|1300000|1500000,28.2358,12.0947,5.0260,56000,
19:58:43:963022719,1300000|1600000|2100000|1200000,27.3346,11.2092,4.8562,56000,
19:58:44:464152187,1600000|1200000|1900000|2000000,28.5937,12.5318,4.9452,55000,
19:58:44:965178686,1200000|1300000|1300000|1500000,29.5947,13.3952,5.1606,56000,
19:58:45:466583198,1600000|2000000|1900000|2000000,27.6832,11.5857,4.9228,57000,
19:58:45:967548166,1600000|1200000|1200000|1600000,28.1724,12.0525,4.9167,55000,
19:58:46:468693559,1900000|1200000|1500000|2200000,29.0010,12.9263,5.0881,56000,
19:58:46:969552662,2200000|2100000|2000000|1900000,33.5367,17.0723,5.7233,58000,
19:58:47:470463373,1900000|1800000|2100000|2100000,35.6011,19.0395,5.8666,58000,
19:58:47:971371737,2000000|2000000|1700000|1700000,34.7381,18.2435,5.9013,57000,
19:58:48:472736506,2200000|2100000|2100000|2200000,33.1606,16.7585,5.7611,57000,
19:58:48:973614367,1700000|2100000|1600000|2100000,30.7191,14.4222,5.6104,57000,
19:58:49:474560848,1900000|1500000|1200000|1400000,28.3498,12.1649,5.4062,54000,
19:58:49:975572188,1200000|1400000|2100000|1200000,26.7330,10.5362,5.1596,55000,
19:58:50:477071904,1200000|1200000|1600000|1300000,25.9888,9.8331,5.3594,56000,
19:58:50:978635165,1200000|1900000|1300000|1200000,28.9354,12.7222,5.6124,56000,
19:58:51:481151383,1700000|1500000|1500000|2200000,32.5898,16.2792,5.9869,57000,
19:58:51:982240066,2100000|1900000|1600000|2000000,31.1817,14.8036,6.0384,57000,
19:58:52:483165570,2100000|1600000|2100000|1800000,32.3224,15.9622,6.0007,57000,
19:58:52:984094515,1500000|1700000|2000000|2100000,32.6737,16.3281,6.0047,56000,
19:58:53:485091363,1500000|2000000|2000000|1600000,33.0673,16.7164,5.9578,58000,
19:58:53:986101348,1900000|1800000|1500000|1900000,32.7072,16.3423,5.9257,57000,
19:58:54:487255949,1600000|1900000|1300000|1800000,30.1359,13.9016,5.8084,56000,
19:58:54:988261610,1200000|1200000|1200000|1200000,29.4715,13.1700,5.7330,55000,
19:58:55:489754210,1600000|1800000|1200000|1700000,30.0232,13.7174,5.7991,55000,
19:58:55:990849155,1700000|1300000|1600000|1400000,29.3843,13.0992,5.8519,56000,
19:58:56:491964578,1700000|1800000|2200000|1600000,31.2581,14.9029,5.9437,56000,
19:58:56:992968372,2000000|1700000|2000000|1700000,31.5787,15.3045,6.0675,56000,
19:58:57:493958494,1500000|1500000|1300000|2000000,32.4744,16.0869,6.0429,57000,
19:58:57:994929966,1900000|2200000|2100000|2000000,33.1997,16.7995,6.0266,57000,
19:58:58:495800708,1200000|1600000|1500000|1400000,30.4415,14.1769,5.8284,57000,
19:58:58:997063210,1500000|1900000|1700000|1600000,27.8480,11.6139,5.5923,56000,
19:58:59:498056668,1600000|1500000|1900000|1900000,28.7471,12.4672,5.5252,58000,
19:58:59:999053858,1600000|1200000|1400000|1700000,26.4914,10.3318,5.4568,56000,
19:59:00:500283999,1300000|1700000|1400000|1500000,27.3099,11.0776,5.5114,56000,
19:59:01:  1367026,1900000|1900000|1900000|2100000,31.3956,15.0333,5.9826,57000,
19:59:01:502325218,1700000|1200000|1400000|1800000,31.8724,15.5170,6.0715,57000,
19:59:02:  3446653,1500000|1300000|1400000|1500000,30.7044,14.4050,6.0322,56000,
19:59:02:504699370,1900000|1600000|1700000|1800000,31.1109,14.7347,5.9588,56000,
19:59:03:  5740671,1300000|1800000|1500000|1200000,29.3792,13.0842,5.8257,56000,
19:59:03:506837866,1600000|1500000|1800000|1200000,27.9528,11.7586,5.7535,55000,
19:59:04:  8263392,2100000|2100000|2100000|1900000,28.8788,12.5296,5.7745,56000,
19:59:04:509172429,1800000|2000000|2100000|1500000,28.5865,12.3594,5.6820,55000,
19:59:05: 10149518,1400000|1700000|1400000|2100000,30.1385,13.8653,5.7759,56000,
19:59:05:511252967,1500000|1600000|1900000|1900000,31.5387,15.3024,5.7772,57000,
19:59:06: 12391630,1500000|1800000|1500000|2100000,32.3086,15.9402,5.8662,57000,
19:59:06:513403278,1200000|1700000|1700000|1900000,31.7069,15.3361,5.8316,56000,
19:59:07: 17294399,2100000|2000000|2100000|2000000,29.5133,13.3686,5.5232,57000,
19:59:07:518352316,2200000|1800000|2200000|1700000,29.4074,13.1901,5.5455,57000,
19:59:08: 19303356,1600000|2100000|2000000|1900000,26.9591,10.7504,5.3599,55000,
19:59:08:520397241,2100000|1400000|2100000|2200000,27.0811,10.8540,5.4123,55000,
19:59:09: 22517970,1800000|1700000|1800000|1700000,25.1746,9.0707,5.1377,54000,
