System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
11:53:13:107918841,1400000|1200000|1200000|2000000,26.3495,10.0760,4.8924,52000,
11:53:13:259099300,1500000|1600000|1700000|1700000,27.6190,11.5628,4.6595,52000,
11:53:13:410263873,1400000|1600000|1600000|1200000,26.2749,10.2412,4.6360,52000,
11:53:13:561514864,1200000|1500000|1700000|1600000,26.1122,10.2596,4.6486,53000,
11:53:13:712701229,1200000|1600000|1200000|1200000,25.0600,8.9670,4.6893,53000,
11:53:13:864051550,1200000|1300000|1600000|1400000,24.8223,8.7877,4.6603,52000,
11:53:14: 15462524,1200000|1200000|1600000|1200000,25.6255,9.4784,4.8662,53000,
11:53:14:167326063,1200000|1200000|1200000|1200000,21.4847,5.5343,4.5611,52011:511:53:14:318924362,1200000|1300000|1200000|1200000,22.6757,6.6676,4.7105,52011:53:14:703045668,1200000|1900000|1200000|1300000,21.0120,5.0160,4.6614,51000,
11:53:15:204531838,1300000|1400000|1500000|1700000,23.9505,7.9457,4.6772,52000,
11:53:15:705957453,1400000|1600000|1800000|1200000,27.3534,11.3436,4.6865,53000,
11:53:16:207228592,1200000|1500000|1700000|1600000,27.1867,11.1654,4.6388,53000,
11:53:16:708877583,1500000|1300000|2100000|1800000,27.6196,11.6133,4.6249,53000,
11:53:17:209987173,2100000|2000000|1200000|1400000,27.7491,11.7388,4.6702,53000,
11:53:17:710904910,2100000|1900000|1300000|1600000,27.8773,11.9051,4.6570,53000,
11:53:18:211821598,1600000|2100000|2000000|2100000,27.9286,11.9065,4.7087,53000,
11:53:18:712771180,1500000|1200000|1300000|1600000,26.3869,10.4106,4.7220,53000,
11:53:19:213996005,1800000|1300000|1300000|1700000,26.0647,10.0744,4.6623,53000,
11:53:19:715053595,1500000|1200000|1200000|2000000,24.9774,8.9544,4.6533,53000,
11:53:20:216286152,1700000|1500000|1500000|1300000,25.0653,9.0599,4.7506,52000,
11:53:20:717492557,1300000|1200000|1200000|1200000,24.0911,8.0986,4.7003,51000,
11:53:21:218864523,1300000|1200000|1700000|1300000,23.4912,7.4951,4.6805,52000,
11:53:21:720305174,1300000|1200000|1900000|1500000,22.8823,6.8864,4.6744,52000,
11:53:22:221324076,1500000|1600000|1200000|1200000,22.2812,6.2547,4.6846,52000,
11:53:22:722629616,1200000|1200000|1300000|2000000,23.1491,7.1838,4.6784,52000,
11:53:23:224234180,1300000|1300000|1200000|1700000,25.0566,9.0289,4.6885,53000,
11:53:23:725523952,1200000|1300000|2000000|1400000,25.1932,9.2029,4.6628,53000,
11:53:24:226877322,1600000|2100000|1300000|1600000,25.2202,9.2216,4.7056,53000,
11:53:24:728075300,1500000|1600000|1900000|1300000,24.6791,8.6766,4.6351,53000,
11:53:25:229159525,1500000|1200000|1700000|1500000,23.4234,7.4738,4.6675,53000,
11:53:25:730280314,1400000|1700000|1400000|1600000,23.6794,7.6546,4.7112,53000,
11:53:26:231506155,1200000|1500000|1300000|1200000,23.3770,7.3602,4.6760,53000,
11:53:26:732966947,1600000|1700000|1700000|1700000,23.5366,7.5435,4.6448,53000,
11:53:27:234076471,1900000|2100000|1300000|1300000,23.5425,7.5229,4.6750,53000,
11:53:27:735107634,1500000|1200000|1800000|1200000,23.3856,7.4269,4.7002,53000,
11:53:28:236308008,1200000|1500000|1300000|1600000,23.5020,7.4720,4.6796,53000,
11:53:28:737871361,1600000|1200000|1500000|1200000,23.4354,7.3945,4.6674,52000,
11:53:29:239012523,1400000|1400000|1200000|1600000,22.7881,6.7953,4.7344,53000,
11:53:29:740318584,1300000|1200000|1200000|1300000,23.1199,7.1170,4.6555,53000,
11:53:30:241793929,1400000|1200000|1400000|1300000,23.2854,7.2892,4.6903,52000,
11:53:30:743230737,1200000|1200000|1900000|1400000,23.9956,8.0176,4.6849,53000,
11:53:31:244224964,1500000|1500000|1700000|1700000,23.9339,7.9007,4.6506,52000,
11:53:31:745484260,1200000|1200000|1200000|1200000,23.0744,7.0721,4.6792,52000,
11:53:32:247124825,1600000|1200000|1200000|1900000,24.2478,8.2522,4.6892,53000,
11:53:32:748312411,1300000|1500000|1200000|1200000,24.5360,8.5302,4.6927,52000,
11:53:33:249863406,1200000|1200000|1200000|1800000,24.2525,8.2608,4.6730,52000,
11:53:33:751373612,1600000|2100000|1800000|1600000,23.0724,7.1101,4.6345,53000,
11:53:34:252464067,2200000|1600000|1200000|1500000,23.5156,7.4647,4.7032,53000,
11:53:34:753422000,1200000|1600000|1500000|1300000,23.1401,7.1816,4.6579,53000,
11:53:35:254802768,1800000|1900000|1200000|1200000,22.9454,6.9279,4.7062,52000,
11:53:35:755882875,1300000|2200000|1600000|1200000,23.9745,7.9681,4.6922,52000,
11:53:36:257296387,1800000|1700000|1500000|1200000,24.3067,8.3090,4.6768,52000,
11:53:36:758424468,1400000|1700000|1700000|1900000,24.0229,8.0257,4.6888,53000,
11:53:37:259760557,1200000|1700000|1400000|1700000,23.1957,7.1942,4.7146,53000,
11:53:37:760979407,1200000|1200000|1400000|1300000,22.7953,6.7811,4.7189,52000,
11:53:38:262604432,1600000|1400000|1600000|1200000,24.1751,8.1908,4.7224,53000,
11:53:38:763774050,1900000|2000000|1500000|1500000,24.2632,8.2514,4.6788,52000,
11:53:39:264934162,1200000|1300000|1400000|1700000,23.9568,7.9488,4.7059,53000,
11:53:39:766032620,2000000|1700000|1200000|1500000,23.6232,7.6115,4.6353,53000,
11:53:40:267004599,1200000|1200000|1900000|1300000,23.5196,7.5658,4.6041,53000,
11:53:40:768019849,1900000|1900000|1200000|1300000,24.2811,8.2384,4.6962,52000,
11:53:41:269101281,1200000|1200000|1200000|1300000,24.4684,8.4521,4.7653,53000,
11:53:41:770646988,1700000|1200000|1400000|1700000,23.8990,7.9061,4.7159,54000,
11:53:42:271753892,1600000|1200000|1400000|1200000,24.3875,8.3741,4.6845,53000,
11:53:42:772969261,1200000|1200000|1800000|1200000,22.4371,6.4824,4.6655,52000,
11:53:43:274491075,1700000|1200000|1700000|1400000,23.5296,7.5033,4.6841,52000,
11:53:43:775621344,1300000|1500000|1200000|1200000,23.2995,7.3391,4.7120,53000,
11:53:44:277417672,1800000|2000000|1800000|1500000,24.2219,8.2089,4.6615,53000,
11:53:44:778769857,1600000|1200000|1400000|1200000,23.7721,7.7851,4.6684,53000,
11:53:45:280009070,1400000|1700000|1900000|1300000,23.5210,7.5285,4.7007,54000,
11:53:45:781100629,1700000|1200000|1200000|1700000,23.7333,7.7424,4.7362,53000,
11:53:46:282251977,1300000|1600000|1700000|1700000,24.0769,8.1358,4.7187,53000,
11:53:46:783404810,1300000|1200000|1200000|1200000,24.3375,8.3300,4.7073,52000,
11:53:47:284856079,1300000|1300000|1600000|1700000,23.8674,7.9037,4.6631,54000,
11:53:47:785992238,1500000|1600000|1200000|1800000,22.4427,6.4309,4.6950,53000,
11:53:48:287321842,1200000|1500000|1200000|1500000,23.4523,7.4632,4.6556,53000,
11:53:48:788721875,1700000|2100000|1700000|1400000,22.7607,6.7810,4.6291,53000,
11:53:49:289917848,2100000|2200000|1300000|1900000,23.5930,7.5989,4.6306,54000,
11:53:49:790791711,1700000|1300000|1700000|1600000,23.8091,7.8079,4.7057,53000,
11:53:50:291969424,1700000|1400000|1400000|1200000,23.1273,7.1925,4.7362,53000,
11:53:50:793110075,1400000|1800000|1300000|1200000,22.8625,6.8491,4.6573,52000,
11:53:51:294466906,2000000|1900000|1200000|1200000,23.1629,7.1773,4.6918,53000,
11:53:51:795486802,1900000|1200000|2000000|1300000,24.0969,8.1039,4.6788,54000,
11:53:52:296533815,1200000|2200000|1200000|1200000,22.8300,6.8735,4.7070,53000,
11:53:52:798157823,1200000|1400000|1200000|1900000,22.6983,6.6926,4.6425,53000,
11:53:53:299753085,1500000|1200000|1200000|1200000,21.8523,5.8786,4.7228,52000,
11:53:53:801021662,1300000|1900000|1200000|1200000,22.9155,6.9297,4.7023,54000,
11:53:54:302405172,1200000|1200000|1300000|1300000,22.6228,6.6424,4.7234,53000,
11:53:54:803959998,1200000|1400000|1200000|1300000,23.2317,7.2701,4.6976,53000,
11:53:55:305473020,1500000|1600000|1600000|1500000,23.1825,7.2069,4.6644,53000,
11:53:55:806654796,1700000|1200000|1200000|1600000,24.2577,8.2449,4.6614,53000,
11:53:56:307778995,1200000|1200000|1400000|1200000,23.0197,7.0331,4.6953,53000,
11:53:56:809302920,1200000|1200000|1200000|1700000,22.7267,6.7515,4.6699,53000,
11:53:57:310619730,1200000|1800000|1200000|1200000,22.5150,6.5262,4.6483,53000,
11:53:57:812045990,1900000|1200000|1200000|1200000,22.0976,6.1184,4.6488,52000,
11:53:58:313097247,1200000|1200000|1200000|1200000,21.6736,5.6801,4.6419,52000,
11:53:58:814605821,1700000|1800000|1200000|1200000,23.7983,7.8162,4.6332,53000,
11:53:59:315671502,1600000|1900000|1300000|1300000,23.3975,7.4079,4.6444,52000,
11:53:59:816708510,1400000|1600000|1200000|2200000,23.6504,7.6958,4.6973,52000,
11:54:00:318070306,1700000|1900000|1800000|2000000,23.1295,7.1686,4.6852,53000,
11:54:00:820288749,1200000|1500000|1200000|1800000,23.5993,7.5808,4.6876,52000,
11:54:01:321922290,1200000|1500000|1200000|1200000,21.9483,5.9376,4.6982,52000,
11:54:01:823525716,2200000|2000000|1500000|1800000,23.6812,7.7013,4.7065,53000,
