System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
11:57:57:393462988,1500000|2200000|2100000|2000000,37.4358,20.0890,6.8702,48000,
11:57:57:895130688,2200000|2200000|2200000|2200000,37.3903,20.6112,6.1184,49000,
11:57:58:396839074,1700000|1700000|1700000|2200000,36.9189,19.9873,6.4797,48000,
11:57:58:898974723,2000000|2100000|2000000|1800000,36.8636,19.6091,6.9467,49000,
11:57:59:399929418,1900000|1800000|2000000|2000000,36.7821,19.3766,6.9225,49000,
11:57:59:903257795,1900000|1900000|2200000|1900000,35.8681,18.6954,6.9082,49000,
11:58:00:404312905,2100000|2200000|2100000|1700000,36.9498,20.1762,6.1028,49000,
11:58:00:905206316,2200000|2200000|2200000|2200000,37.2781,20.5903,5.9012,50000,
11:58:01:406103441,2100000|2200000|2200000|2200000,37.4563,20.7467,5.8979,49000,
11:58:01:907714899,2100000|2100000|2000000|2200000,37.4447,20.7368,5.9147,49000,
11:58:02:409869133,2100000|2200000|1900000|2100000,37.4825,20.7557,5.9267,49000,
11:58:02:911251550,2200000|2100000|2100000|2100000,25.1086,8.6806,5.9489,48000,
11:58:03:413247265,2200000|1500000|2200000|2200000,26.1666,9.6951,5.8871,47000,
11:58:03:915578426,2200000|2100000|1900000|2200000,27.7619,11.3082,5.8920,48000,
11:58:04:417705538,2200000|2200000|2200000|2200000,33.0901,16.4537,5.8363,49000,
11:58:04:919295923,2100000|2000000|2200000|2100000,37.0202,20.1567,5.9436,49000,
11:58:05:423326129,2000000|2000000|2100000|2200000,37.2194,20.5632,5.8816,50000,
11:58:05:925905072,1600000|2200000|1800000|2200000,37.2605,20.4903,5.9868,49000,
11:58:06:427289516,2000000|1600000|1900000|2100000,37.1609,20.4381,5.9893,50000,
11:58:06:928642961,2200000|2200000|2100000|2200000,37.1043,20.4128,5.8960,50000,
11:58:07:431013669,1800000|2200000|1600000|2000000,37.2433,20.5662,5.8148,50000,
