System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
15:25:14:613305556,1200000|1200000|1200000|1200000,7.7852,0.4265,1.4180,45000,
15:25:14:764839995,1200000|1200000|1200000|1200000,8.1257,0.3947,1.3486,46000,
15:25:14:916312424,1200000|1200000|1200000|1200000,7.8453,0.4141,1.3952,44000,
15:25:15: 67824496,1200000|1200000|1200000|1200000,7.1480,0.3700,1.2980,44000,
15:25:15:219335073,1200000|1200000|1200000|1200000,7.1352,0.3548,1.3082,46000,
15:25:15:370861221,1200000|1200000|1200000|1200000,7.8823,0.4406,1.3117,45000,
15:25:15:522346837,1200000|1200000|1200000|1200000,6.9191,0.3068,1.3012,45000,
15:25:15:673828392,1200000|1200000|1200000|1200000,6.4310,0.3082,1.3040,46000,
15:25:15:825310993,1200000|1200000|1200000|1200000,7.6232,0.3808,1.2961,46000,
15:25:15:976785409,1200000|1200000|1200000|1200000,7.1916,0.3776,1.3986,45000,
15:25:16:128262704,1200000|1200000|1200000|1200000,8.9952,0.4561,1.3608,46000,
15:25:16:279777420,1200000|1200000|1200000|1200000,7.7640,0.3677,1.2438,45000,
15:25:16:431285992,1200000|1200000|1200000|1200000,8.0025,0.4455,1.3808,45000,
15:25:16:582847402,1200000|1200000|1200000|1200000,7.2844,0.3486,1.4014,45000,
15:25:16:734331581,1200000|1200000|1200000|1200000,7.0681,0.3352,1.3236,45000,
15:25:16:885819857,1200000|1200000|1200000|1200000,6.9944,0.3890,1.3852,45000,
15:25:17: 37305229,1200000|1200000|1200000|1200000,6.8403,0.3236,1.3009,46000,
15:25:17:188791053,1200000|1200000|1200000|1200000,7.9396,0.4560,1.3610,45000,
15:25:17:340275149,1200000|1200000|1200000|1200000,7.8048,0.4580,1.4055,46000,
15:25:17:491780766,1200000|1200000|1200000|1200000,7.9218,0.3785,1.3695,45000,
15:25:17:643289525,1200000|1200000|1200000|1200000,7.3121,0.3571,1.3016,45000,
15:25:17:794853975,1200000|1200000|1200000|1200000,8.0304,0.3815,1.2933,45000,
15:25:17:946339109,1200000|1200000|1200000|1200000,7.1594,0.3792,1.3728,45000,
15:25:18: 97822293,1200000|1200000|1200000|1200000,8.0891,0.3989,1.3284,45000,
15:25:18:249315148,1200000|1200000|1200000|1200000,6.6698,0.3020,1.3552,45000,
15:25:18:400797322,1200000|1200000|1200000|1200000,8.4658,0.5091,1.5110,45000,
15:25:18:552282026,1200000|1200000|1200000|1200000,6.5247,0.3031,1.2843,46000,
15:25:18:703787376,1200000|1200000|1200000|1200000,7.9659,0.4105,1.3584,44000,
15:25:18:855298917,1200000|1200000|1200000|1200000,7.2823,0.3011,1.2913,44000,
15:25:19:  6807936,1200000|1200000|1200000|1200000,6.8705,0.3487,1.3590,45000,
15:25:19:158273715,1200000|1200000|1200000|1200000,7.6558,0.4304,1.3219,45000,
15:25:19:309747883,1200000|1200000|1200000|1200000,7.3546,0.3536,1.3626,45000,
15:25:19:461218306,1200000|1200000|1200000|1200000,7.7099,0.3926,1.3180,46000,
