System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
18:45:03:286591169,1200000|1500000|1300000|1200000,30.5823,13.1392,6.4953,44000,
18:45:03:438326732,1600000|1600000|1300000|1600000,27.8734,10.7318,6.6350,44000,
18:45:03:589539399,1500000|1600000|1500000|1600000,21.6583,5.3108,5.4182,45000,
18:45:03:740757386,1200000|1400000|2100000|1800000,24.2102,8.0312,5.2713,45000,
18:45:03:892359959,1200000|1300000|1200000|1500000,28.3659,11.8041,5.7012,45000,
18:45:04: 44021213,1300000|1500000|1600000|2000000,27.7846,11.3448,5.6022,47000,
18:45:04:195099790,2100000|1700000|1700000|1800000,32.0037,15.0303,6.1523,47000,
18:45:04:346090863,1700000|1300000|1600000|2100000,32.4540,15.3719,6.7339,48000,
18:45:04:497080635,1200000|1300000|1500000|1400000,30.8877,13.8570,6.6784,47000,
18:45:04:648340276,1900000|1500000|1800000|2000000,33.8577,16.3439,6.8034,48000,
18:45:04:799542430,1700000|1700000|1600000|1500000,31.4530,13.8036,7.0284,48000,
18:45:04:950685340,1600000|1400000|1900000|1700000,31.8162,14.3047,6.9347,48000,
18:45:05:101716557,1800000|1900000|1700000|1400000,31.0138,13.6055,6.9084,47000,
18:45:05:252852043,1700000|2000000|1600000|1700000,32.1596,14.5946,6.9542,47000,
18:45:05:403896962,1700000|1500000|1400000|1200000,30.4817,13.2058,6.8882,47000,
18:45:05:555441467,1600000|1600000|1700000|2100000,31.6389,14.4786,6.5704,47000,
18:45:05:706470043,1700000|1700000|2100000|2100000,32.8493,16.1631,5.9536,47000,
18:45:05:857434734,1500000|1800000|2100000|1500000,33.0358,16.1764,6.0460,47000,
18:45:06:  8589619,2000000|1500000|1900000|1800000,32.7475,15.9148,6.0841,47000,
18:45:06:159613007,2100000|2000000|1200000|2100000,31.9122,15.1914,6.0413,48000,
18:45:06:310713511,1600000|1300000|1600000|1700000,32.8681,16.0479,6.0394,46000,
18:45:06:462003930,2000000|2100000|2100000|1400000,31.9328,15.1274,6.1955,47000,
18:45:06:613002732,1600000|2100000|2000000|1800000,32.8024,16.0690,6.1387,48000,
18:45:06:763987331,1900000|2000000|1300000|1600000,32.3611,15.5710,6.0732,47000,
18:45:06:915086043,1900000|1900000|2100000|2200000,32.0984,15.3365,6.1131,48000,
18:45:07: 66064681,2100000|1600000|1500000|1500000,31.1840,14.5595,6.0567,47000,
18:45:07:217034954,1300000|1900000|2000000|1400000,28.7397,12.0690,5.7549,47000,
18:45:07:368176215,1200000|1700000|1400000|1200000,27.0175,10.7059,5.7214,47000,
18:45:07:519488445,1300000|1300000|1900000|1500000,27.7608,11.1901,5.7292,47000,
18:45:07:670711411,1200000|1200000|1200000|1700000,27.0235,10.4398,5.9298,46000,
18:45:07:822265046,2000000|1400000|1700000|2000000,28.6485,12.1041,5.7435,47000,
18:45:07:973267176,1600000|1400000|2200000|1800000,27.4571,10.9351,5.7501,47000,
18:45:08:124189276,1400000|1300000|1600000|1700000,28.3669,11.9246,5.7280,47000,
18:45:08:275379153,1500000|1700000|2200000|1500000,28.5913,12.0563,5.8951,47000,
18:45:08:426387361,1200000|1900000|1900000|1900000,26.6393,10.3098,5.7534,47000,
18:45:08:577457171,1900000|1900000|1400000|1300000,28.6060,11.9717,5.9705,47000,
18:45:08:728498191,1900000|1800000|1600000|1300000,25.6197,9.2291,5.5858,47000,
18:45:08:879545470,1200000|1900000|1800000|1200000,26.7389,10.2294,5.5806,46000,
18:45:09: 31010366,2000000|1300000|1200000|1400000,28.5837,12.0367,5.8042,48000,
18:45:09:182099327,1400000|2200000|1800000|2200000,22.7297,6.6230,5.0913,47000,
18:45:09:333465536,1700000|1500000|1300000|1500000,28.0960,11.4266,5.9945,45000,
18:45:09:484668635,1400000|1800000|1200000|1400000,21.0483,4.9907,4.8582,46000,
