System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
17:59:49:419769835,2200000|1200000|1600000|1200000,22.5835,6.1910,5.4763,49000,
17:59:49:920758603,1500000|1200000|1200000|1200000,22.6210,6.3837,5.1715,49000,
17:59:50:422640002,1200000|1200000|1200000|1200000,20.7804,4.6503,4.8527,50000,
17:59:50:924169040,1200000|2100000|1200000|1600000,22.4347,6.1421,5.1277,49000,
17:59:51:425179005,1200000|1200000|1300000|1800000,26.8038,9.9159,6.1778,50000,
17:59:51:926286622,1400000|1800000|1900000|1500000,28.4690,11.7238,5.9994,50000,
17:59:52:427419420,1200000|1600000|1200000|1200000,28.1209,11.5892,5.7996,50000,
17:59:52:928670812,1200000|1200000|1600000|1600000,25.3332,8.9715,5.4628,49000,
17:59:53:429875560,1200000|1200000|1700000|1200000,24.5391,8.1770,5.4548,49000,
17:59:53:931358690,1200000|1500000|1900000|1400000,24.1374,7.8063,5.3020,50000,
17:59:54:432501224,1200000|1900000|2200000|2000000,23.7920,7.4690,5.3176,51000,
17:59:54:933368609,1600000|1700000|1800000|1700000,21.5513,5.3940,5.0492,51000,
17:59:55:434507850,1500000|1400000|1200000|1200000,22.2171,5.9870,5.1105,50000,
17:59:55:935751027,1200000|1200000|1700000|1200000,23.0567,6.8115,5.2015,49000,
17:59:56:437373276,1200000|1200000|1600000|1200000,22.9159,6.6853,5.1631,49000,
17:59:56:938859490,1700000|1200000|1900000|1700000,24.0323,7.7602,5.3313,50000,
17:59:57:439961083,1800000|1700000|1900000|1600000,22.3862,6.1622,5.1070,49000,
17:59:57:940976736,1200000|1200000|1500000|2000000,24.0648,7.7203,5.3990,50000,
17:59:58:442424253,1200000|1400000|1700000|1200000,25.1439,8.6850,5.4888,50000,
17:59:58:945250647,1200000|1200000|1500000|1800000,24.1392,7.7527,5.4717,50000,
17:59:59:446812816,1200000|1200000|1800000|1500000,24.5464,8.1413,5.3880,51000,
