System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
15:13:02:485973066,1200000|1200000|1700000|1200000,27.9546,11.0705,6.0960,49000,
15:13:02:820626704,1900000|1200000|1400000|1200000,25.4153,9.0812,5.4073,50000,
15:13:03:154710218,1700000|1200000|1700000|1200000,27.9786,11.4513,5.7781,50000,
15:13:03:488891687,1300000|1400000|1200000|1200000,28.4221,11.6309,6.2400,49000,
15:13:03:823347348,1200000|1200000|1600000|1400000,27.2147,10.4278,5.9775,49000,
15:13:04:157918850,1400000|1200000|1600000|1400000,25.1742,8.5715,5.9528,50000,
15:13:04:492302918,1700000|1900000|1200000|1700000,25.6990,9.1912,5.5124,50000,
15:13:04:826519552,1400000|1700000|2100000|2200000,23.8479,7.6463,5.1790,51000,
15:13:05:160496171,1500000|1900000|1900000|1300000,24.7983,8.4829,5.2971,50000,
15:13:05:494807575,1600000|1900000|1200000|1800000,22.1362,6.0216,5.0371,50000,
15:13:05:829115844,1200000|1600000|1200000|1200000,23.6604,7.4655,5.1038,49000,
15:13:06:163682990,1200000|1200000|1300000|2000000,22.3103,6.1845,5.0687,50000,
15:13:06:498281271,1600000|1200000|1900000|1200000,21.8804,5.8119,4.7909,51000,
15:13:06:832442029,1200000|1200000|1200000|1200000,20.7465,4.6701,4.8896,49000,
15:13:07:167024544,1200000|1200000|1600000|1900000,21.8362,5.6599,5.0587,49000,
15:13:07:501538920,1200000|1200000|1200000|1200000,21.1936,5.1762,4.7439,49000,
15:13:07:836106599,1200000|1200000|1200000|1600000,21.7065,5.5963,5.0216,49000,
15:13:08:170683252,1200000|1200000|1200000|1200000,18.7415,2.7407,4.6560,50000,
15:13:08:505253691,1200000|1400000|1600000|1200000,23.9496,7.7485,5.1880,50000,
15:13:08:839822487,1200000|1200000|1600000|1200000,18.6779,2.6941,4.6854,48000,
15:13:09:174350706,1700000|1200000|1200000|1200000,22.0825,5.9602,5.0308,49000,
15:13:09:508520644,1400000|1200000|1300000|1200000,20.7254,4.6872,4.6435,50000,
15:13:09:842857728,1900000|1200000|1200000|1800000,21.7645,5.6234,5.0471,48000,
15:13:10:177033354,1200000|1200000|1200000|1200000,18.7721,2.8208,4.6381,50000,
15:13:10:511547849,1300000|1300000|1200000|1200000,23.1819,6.9748,5.0836,51000,
15:13:10:846026742,1500000|1200000|1200000|1200000,19.6481,3.7060,4.6873,50000,
15:13:11:180347557,1300000|1300000|1200000|1800000,21.7199,5.5471,4.9767,50000,
15:13:11:514785503,1200000|1300000|1200000|1200000,18.7061,2.7730,4.6628,49000,
15:13:11:849453247,1500000|1700000|1700000|1500000,25.9915,9.7904,5.1114,49000,
15:13:12:183806153,1500000|1200000|1200000|1700000,21.8917,5.6636,5.0365,50000,
15:13:12:518156971,1400000|1900000|1600000|2000000,28.4790,12.0227,5.7699,51000,
15:13:12:852184870,2000000|1900000|1900000|2000000,29.4578,12.9427,5.9485,51000,
15:13:13:186172564,1900000|1900000|2200000|1800000,31.7607,15.2889,5.6047,52000,
15:13:13:520124824,2100000|2100000|1700000|2100000,32.8980,16.3625,5.5340,53000,
15:13:13:854125298,1300000|1200000|1200000|1700000,29.3670,13.0344,5.2333,49000,
15:13:14:188547887,1400000|1400000|1300000|1200000,25.9782,9.6978,5.1591,51000,
15:13:14:522914504,2000000|1900000|1200000|1500000,25.2890,9.1156,5.0663,50000,
15:13:14:856995412,1500000|1900000|1400000|1500000,24.3237,8.0960,5.0995,50000,
