System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
13:53:37: 66812055,1400000|1200000|1700000|1800000,33.2759,15.9416,6.7290,48000,
13:53:37:368294362,2200000|1600000|1600000|2200000,27.3463,10.7104,5.8939,50000,
13:53:37:669257583,1800000|1500000|2100000|2100000,30.8784,14.3283,5.5856,51000,
13:53:37:970216154,1800000|2200000|2200000|2100000,31.4852,14.8434,5.8554,49000,
13:53:38:271154584,1200000|1800000|2200000|1800000,31.2645,14.4608,6.0463,49000,
13:53:38:572754956,1800000|1800000|1600000|1500000,32.3307,15.4774,6.3543,49000,
13:53:38:873876704,2200000|2000000|2200000|1900000,31.5723,14.2919,6.8927,49000,
13:53:39:174845619,2100000|1700000|1400000|1500000,31.9143,14.8584,6.5977,50000,
13:53:39:475870709,1400000|1300000|1400000|1500000,31.6079,14.7518,6.2424,49000,
13:53:39:777140947,1900000|1300000|1600000|1600000,34.2679,17.3995,6.3462,49000,
13:53:40: 78200152,1500000|1800000|1600000|1600000,31.9847,15.3460,5.9288,50000,
13:53:40:379317732,2200000|1900000|1500000|1700000,32.5151,15.8541,6.0654,50000,
13:53:40:680316653,1600000|1900000|1600000|1900000,31.0808,14.6696,5.7100,50000,
13:53:40:981538159,1200000|1200000|1500000|1200000,29.2062,12.6807,5.5272,48000,
13:53:41:283113054,1200000|1400000|1800000|1800000,29.4768,12.9991,5.7728,50000,
13:53:41:584290678,1400000|1600000|1200000|1200000,27.1477,10.7362,5.5461,49000,
13:53:41:885691844,1400000|1900000|1500000|1200000,25.2309,8.9408,5.3707,48000,
13:53:42:186910464,1400000|1300000|1200000|1300000,27.8333,11.2976,5.7242,47000,
13:53:42:488400658,1600000|1600000|2000000|1300000,28.1801,11.7661,5.5692,48000,
13:53:42:789694284,1900000|1200000|1400000|1700000,27.1986,10.7813,5.2525,49000,
13:53:43: 90800993,1200000|2200000|1700000|1200000,27.9031,11.2913,5.7700,49000,
13:53:43:393090237,2100000|1200000|1200000|1700000,25.9611,9.6786,5.4000,48000,
13:53:43:694082335,1200000|1200000|1400000|1200000,21.9148,5.7332,5.0294,48000,
13:53:43:996324558,1200000|1200000|1600000|1500000,24.6838,8.4217,5.3039,48000,
13:53:44:297916933,1600000|2100000|1600000|1400000,25.8744,9.3362,5.7841,49000,
13:53:44:599820626,1200000|1200000|1200000|1200000,20.8484,4.8035,4.7286,47000,
13:53:44:901392699,1200000|1200000|1200000|2000000,22.1886,6.0038,5.0651,48000,
13:53:45:203027658,1200000|1200000|1200000|1800000,21.9815,6.0540,4.7248,47000,
13:53:45:504615881,1700000|1200000|1500000|1800000,25.0417,8.5602,5.7665,48000,
13:53:45:805903861,1600000|1500000|1800000|1200000,22.5341,6.5064,4.6799,49000,
13:53:46:107139193,1800000|1200000|1700000|1200000,21.4470,5.3595,5.0107,48000,
13:53:46:408414923,1200000|1200000|1700000|1700000,19.3911,3.3700,4.7810,48000,
13:53:46:709965092,1200000|1700000|1800000|1500000,25.1183,8.8109,5.4708,48000,
13:53:47: 11561848,1500000|1200000|1200000|1400000,22.4352,6.2771,5.0890,48000,
13:53:47:312945339,1200000|1200000|1200000|1400000,18.7725,2.7843,4.6596,47000,
13:53:47:614677069,1200000|1200000|1800000|1500000,21.6962,5.6990,4.6476,48000,
13:53:47:916238375,1200000|1200000|1700000|1800000,22.2905,6.1244,5.1208,47000,
13:53:48:217896360,1500000|1200000|1300000|1300000,22.5880,6.3361,5.3043,48000,
13:53:48:519234859,1200000|1200000|1300000|1200000,18.6284,2.6331,4.6219,48000,
13:53:48:820891348,2000000|1900000|1600000|1300000,24.8123,8.6464,4.9651,48000,
13:53:49:121965937,1200000|1200000|1200000|1200000,19.5583,3.5524,4.7979,47000,
13:53:49:423532496,1200000|1200000|1200000|1200000,18.5966,2.6277,4.6388,48000,
13:53:49:725110730,1900000|1700000|1500000|1200000,25.0956,8.7447,5.4178,50000,
13:53:50: 26166802,1200000|1200000|1300000|1500000,24.0905,7.8751,5.1288,48000,
13:53:50:327827296,1200000|1200000|1200000|1200000,18.6223,2.6503,4.6172,48000,
13:53:50:629377335,1200000|1200000|1200000|1200000,18.5252,2.6160,4.6518,48000,
13:53:50:931261314,1600000|1200000|1600000|2200000,19.1877,3.0357,4.7290,47000,
13:53:51:236201238,1900000|1400000|1500000|1800000,28.0546,11.7358,5.4289,49000,
13:53:51:537328480,1900000|1200000|1200000|1200000,18.7768,2.8368,4.6544,49000,
13:53:51:838361598,1200000|1200000|1200000|1200000,18.7607,2.8268,4.6432,48000,
13:53:52:140013821,1200000|1200000|1200000|1200000,18.5722,2.6082,4.6601,48000,
13:53:52:441614939,1700000|1500000|1500000|1200000,24.1348,7.9582,4.9654,49000,
13:53:52:742792939,1200000|1200000|1200000|1200000,19.1358,3.1420,4.7264,48000,
13:53:53: 44402199,1400000|1200000|1200000|1700000,23.0737,6.7774,5.2145,48000,
13:53:53:345789426,1200000|1200000|1200000|1200000,18.9395,3.0177,4.6361,47000,
13:53:53:647304828,1600000|1200000|1200000|2200000,19.0308,2.9930,4.6552,49000,
13:53:53:948676879,1200000|1200000|1200000|1400000,24.8452,8.6360,5.1155,48000,
13:53:54:250260155,1200000|1200000|1200000|1200000,18.5970,2.6261,4.5858,48000,
13:53:54:551768667,1200000|1200000|1200000|1200000,18.4820,2.5788,4.6393,48000,
13:53:54:853301702,1200000|1400000|1200000|1200000,24.0118,7.7583,5.2384,47000,
13:53:55:154916160,1800000|1700000|2100000|1400000,23.8697,7.6884,5.2072,50000,
13:53:55:455928472,1200000|1200000|1200000|1200000,18.7141,2.7014,4.6388,48000,
13:53:55:757480488,1200000|1200000|1200000|1200000,18.6531,2.6754,4.6214,47000,
13:53:56: 58990740,1200000|1200000|1200000|1200000,18.7009,2.7284,4.6675,48000,
13:53:56:360599120,1200000|1200000|1200000|1200000,18.6791,2.7188,4.6528,48000,
13:53:56:662123402,1200000|1800000|1400000|1600000,26.2481,9.8676,5.4898,47000,
13:53:56:963663517,1200000|1200000|1200000|1600000,19.0614,3.0757,4.6750,47000,
13:53:57:265322777,1200000|1200000|1200000|1200000,18.5957,2.6347,4.6052,47000,
13:53:57:566888153,1200000|1200000|1200000|1200000,18.5957,2.6282,4.6516,47000,
13:53:57:868495686,1200000|1200000|1200000|1200000,18.6588,2.7571,4.6667,47000,
13:53:58:170049785,1800000|1900000|1200000|1500000,25.2503,9.0456,5.1567,48000,
13:53:58:471183273,1600000|1700000|1400000|1600000,21.5200,5.4950,4.8673,49000,
13:53:58:772269450,2000000|2200000|1700000|1200000,21.3968,5.2447,4.8616,47000,
13:53:59: 73200021,2000000|1200000|1200000|1200000,19.0603,3.1112,4.6684,48000,
13:53:59:374232871,1900000|1200000|1300000|1200000,22.1937,6.0120,5.0478,49000,
13:53:59:675273892,1200000|1200000|1200000|1200000,21.8975,5.9315,4.7526,48000,
13:53:59:976903879,1200000|1200000|1200000|1200000,18.7522,2.7723,4.6457,48000,
13:54:00:278391501,2200000|2200000|2000000|2100000,24.2313,7.9481,5.2412,50000,
13:54:00:579365034,1200000|1200000|1200000|1600000,22.4353,6.4171,4.8823,47000,
13:54:00:881015001,1200000|1200000|1200000|1600000,18.9523,2.9813,4.6802,48000,
13:54:01:182586867,1200000|1200000|1200000|1200000,23.5595,7.3650,5.1300,47000,
13:54:01:484209073,1600000|1500000|1800000|1400000,19.8805,3.9140,4.6854,49000,
13:54:01:785519870,1300000|2200000|1700000|1500000,25.8886,9.4789,5.2850,51000,
13:54:02: 86530644,1200000|1200000|1200000|1700000,25.4155,9.0388,5.4234,48000,
13:54:02:388198668,1200000|1200000|1600000|1200000,22.9183,6.6944,5.0267,47000,
13:54:02:689726738,1300000|1300000|2000000|1400000,20.8713,4.7876,4.8264,49000,
13:54:02:991202353,2100000|2100000|1800000|1800000,21.6589,5.6097,5.0221,49000,
13:54:03:292546795,1200000|1500000|1200000|1500000,26.6855,10.2096,5.5237,48000,
13:54:03:594137014,1200000|1300000|1200000|1200000,22.6452,6.5422,4.9923,48000,
13:54:03:895625376,1200000|1600000|1600000|1200000,19.3795,3.3511,4.6508,48000,
13:54:04:197208352,1200000|1500000|1300000|1200000,26.7236,10.3459,5.4659,49000,
13:54:04:498826902,1200000|1200000|1200000|1200000,18.8018,2.8247,4.6721,48000,
13:54:04:800424427,2200000|1200000|1200000|1200000,23.1289,6.9715,5.0991,47000,
13:54:05:101384238,1700000|1700000|1700000|1800000,21.8310,5.6923,4.8756,49000,
13:54:05:402556790,2200000|1200000|1200000|2200000,22.2889,6.1236,4.9540,47000,
13:54:05:703539400,1700000|1700000|1900000|1400000,21.5385,5.4024,4.8711,50000,
13:54:06:  4790113,1200000|1200000|1200000|1200000,21.1582,5.0493,4.9474,48000,
13:54:06:306356096,1300000|1900000|1800000|1700000,26.7424,10.3949,5.3654,50000,
13:54:06:607437474,1200000|1200000|1200000|1200000,20.6509,4.6731,4.7416,48000,
13:54:06:909053013,1500000|1200000|1200000|1800000,22.7385,6.5491,5.1404,48000,
13:54:07:210235568,1200000|1500000|1200000|1200000,20.2913,4.2392,4.6194,48000,
