System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
13:06:28:460494082,1800000|1800000|1700000|1200000,31.1185,13.9430,6.4256,46000,
13:06:28:761659287,2000000|1500000|1500000|1900000,27.3692,11.0432,5.3646,47000,
13:06:29: 63540579,1200000|1700000|1300000|1500000,29.0169,12.6515,5.6079,46000,
13:06:29:365182724,1800000|1900000|1700000|2000000,32.0875,15.4968,5.8124,47000,
13:06:29:666357843,1700000|2000000|1800000|1900000,30.3506,13.5109,6.1185,47000,
13:06:29:967375441,2000000|1700000|1700000|1500000,30.8175,13.7384,6.6133,47000,
13:06:30:268524113,1700000|1600000|1300000|2200000,31.9475,14.9448,6.6590,47000,
13:06:30:569490196,2000000|1900000|2200000|1400000,31.4654,14.6433,6.2816,48000,
13:06:30:870454850,1200000|2100000|2100000|1600000,34.8704,17.8667,6.3298,47000,
13:06:31:171763284,1500000|2100000|2000000|1600000,33.5950,16.9758,5.8532,48000,
13:06:31:472817551,1900000|2200000|1700000|2000000,32.9110,16.2820,6.0959,48000,
13:06:31:773868252,2000000|1300000|1700000|1900000,30.9628,14.4940,5.7267,48000,
13:06:32: 74848117,1800000|1800000|1200000|1200000,31.1009,14.3891,5.8633,48000,
13:06:32:376019831,1500000|1400000|1300000|1800000,26.4935,10.2152,5.3558,48000,
13:06:32:677451810,1900000|1700000|1200000|1900000,27.0143,10.6623,5.4076,48000,
13:06:32:978534222,1600000|1300000|1700000|1900000,29.1616,12.7089,5.6713,47000,
13:06:33:279642716,1600000|2100000|1200000|1200000,24.9984,8.8081,5.2669,47000,
13:06:33:580779420,1800000|1600000|1200000|1200000,27.2186,10.8231,5.4249,47000,
13:06:33:881907411,1600000|2000000|2200000|1900000,26.5938,10.2498,5.5016,48000,
13:06:34:182961692,1300000|1500000|1800000|1200000,25.3317,8.9938,5.4590,46000,
13:06:34:484027665,1300000|1800000|1700000|1200000,25.8279,9.5323,5.4321,47000,
13:06:34:785409174,1200000|1600000|1200000|1200000,26.2307,9.9280,5.3569,47000,
13:06:35: 86679053,1600000|1300000|1200000|1800000,27.9090,11.5186,5.4026,47000,
13:06:35:387935469,1600000|1600000|1300000|1500000,23.8369,7.6524,5.2849,47000,
13:06:35:689139232,1700000|1200000|1900000|1400000,25.3965,9.1203,5.2729,46000,
13:06:35:990341047,1600000|1900000|1800000|1600000,22.0368,5.9095,5.0316,47000,
13:06:36:291377732,1200000|2200000|1200000|1200000,23.3709,7.3311,4.8332,45000,
13:06:36:592858586,1200000|1200000|1200000|1200000,22.6819,6.5193,5.0307,45000,
13:06:36:894479056,1900000|2000000|2000000|1400000,25.3671,9.2018,5.0651,48000,
13:06:37:195494903,1800000|1200000|1600000|1400000,20.3002,4.2851,4.8692,46000,
13:06:37:496631849,1600000|1300000|1800000|1500000,23.8523,7.7166,5.1117,48000,
13:06:37:797920674,1200000|1800000|1200000|1200000,22.0556,5.9917,4.8588,46000,
13:06:38: 99444873,1200000|1500000|1500000|1700000,19.7985,3.7765,4.8349,47000,
13:06:38:400724516,1700000|1900000|1900000|1900000,22.3019,6.1972,5.0824,47000,
13:06:38:701777453,1200000|1200000|1200000|1200000,23.7012,7.7068,4.8209,45000,
13:06:39:  3335751,2200000|1200000|1800000|1200000,21.9947,5.7750,5.0493,46000,
13:06:39:304324346,1200000|1200000|1200000|1200000,18.7965,2.8494,4.6689,46000,
