Starting power gadget at 1434773393.358696272
Clock resolution:
	tv_sec: 0
	tv_nsec: 1
Current time:
	tv_sec: 105017
	tv_nsec: 187859518
Current time (s): 105017.187860
Total energy consumed: 2626.191162
Time (s) Power (W)
Starting stress at 1434773398.365229034
Step to 20.000 at 1434773418.447069029
Step to 39.900 at 1434773433.491439826
Step to 20.100 at 1434773448.543103798
Step to 39.800 at 1434773463.603439051
Step to 20.200 at 1434773478.651093389
Step to 39.700 at 1434773493.695423261
Step to 20.300 at 1434773508.724745355
Step to 39.600 at 1434773523.779430698
Step to 20.400 at 1434773538.827084428
Step to 39.500 at 1434773553.895398805
Step to 20.500 at 1434773568.955086085
Step to 39.400 at 1434773584.031413156
Step to 20.600 at 1434773599.095105742
Step to 39.300 at 1434773614.151416871
Step to 20.700 at 1434773629.211089105
Step to 39.200 at 1434773644.280966047
Step to 20.800 at 1434773659.335092309
Step to 39.100 at 1434773674.387458380
Step to 20.900 at 1434773689.443080285
Step to 39.000 at 1434773704.495414401
Step to 21.000 at 1434773719.555096727
Step to 38.900 at 1434773734.598592577
Step to 21.100 at 1434773749.659078634
Step to 38.800 at 1434773764.707426613
Step to 21.200 at 1434773779.771086142
Step to 38.700 at 1434773794.819415687
Step to 21.300 at 1434773809.879079607
Step to 38.600 at 1434773824.935463279
Step to 21.400 at 1434773839.984910147
Step to 38.500 at 1434773855.035419132
Step to 21.500 at 1434773870.083102914
Step to 38.400 at 1434773885.131434558
Step to 21.600 at 1434773900.187076345
Step to 38.300 at 1434773915.231404665
Step to 21.700 at 1434773930.287103403
Step to 38.200 at 1434773945.339445839
Step to 21.800 at 1434773960.427106436
Step to 38.100 at 1434773975.486366880
Step to 21.900 at 1434773990.531093783
Step to 38.000 at 1434774005.583452619
Step to 22.000 at 1434774020.639082785
Step to 37.900 at 1434774035.687397621
Step to 22.100 at 1434774050.743076800
Step to 37.800 at 1434774065.795407727
Step to 22.200 at 1434774080.847108941
Step to 37.700 at 1434774095.891449036
Step to 22.300 at 1434774110.943077577
Step to 37.600 at 1434774126.007401415
Step to 22.400 at 1434774141.067100222
Step to 37.500 at 1434774156.115411331
Step to 22.500 at 1434774171.167091435
Step to 37.400 at 1434774186.223408183
Step to 22.600 at 1434774201.279111602
Step to 37.300 at 1434774216.335401799
Step to 22.700 at 1434774231.379079163
Step to 37.200 at 1434774246.431565434
Step to 22.800 at 1434774261.495089059
Step to 37.100 at 1434774276.559438887
Step to 22.900 at 1434774291.615087091
Step to 37.000 at 1434774306.675424019
Step to 23.000 at 1434774321.731072574
Step to 36.900 at 1434774336.787445728
Step to 23.100 at 1434774351.830266507
Step to 36.800 at 1434774366.879394095
Step to 23.200 at 1434774381.919095874
Step to 36.700 at 1434774396.995386716
Step to 23.300 at 1434774412.043101806
Step to 36.600 at 1434774427.103400987
Step to 23.400 at 1434774442.167094835
Step to 36.500 at 1434774457.219389850
Step to 23.500 at 1434774472.267097072
Step to 36.400 at 1434774487.327408849
Step to 23.600 at 1434774502.387097194
Step to 36.300 at 1434774517.447127929
Step to 23.700 at 1434774532.499086947
Step to 36.200 at 1434774547.547421521
Step to 23.800 at 1434774562.591166851
Step to 36.100 at 1434774577.639434799
Step to 23.900 at 1434774592.703089625
